fromCity,toCity,departureTime,passengers,airline
Brisbane,Tokyo,1465258980000,529,KG-762
Changchun,Hiroshima,1465273440000,58,KG-348
Managua,Caracas,1466555340000,46,WI-152
Istanbul,Genoa,1464504000000,164,WI-739
Xining,Nanjing,1465323900000,61,FI-863
Antipolo,Hai Phong,1464262440000,18,SK-224
Xingtai,Wuhan,1464733440000,76,RK-749
Dhaka,Nanning,1466086440000,115,FI-350
Guntur,Faisalabad,1464714000000,48,WI-379
Brussels,Dortmund,1464756660000,25,SC-485
Yangzhou,Xingtai,1466323860000,18,WK-903
Dhaka,Visakhapatnam,1464608280000,120,TX-232
Palembang,Karachi,1464268500000,204,WI-883
Bangkok,Lakhnau,1466140620000,120,FI-840
Jiangmen,Nanjing,1465385160000,57,HN-741
Agra,Madras,1465513380000,91,RK-795
Tianjin,Rangoon,1464359220000,130,SK-619
Hanoi,Karachi,1465711140000,207,FI-341
Tokyo,Rajshahi,1464692520000,511,WK-992
Taipei,Lanzhou,1465411740000,62,AD-108
Yerevan,Alexandria,1466492760000,77,AM-248
Ningbo,Tokyo,1466261340000,511,UA-716
Mashhad,Nagpur,1465301100000,72,HN-290
Tucson,San Diego,1465812420000,28,AM-735
Khulna,Guangzhou,1465181520000,71,DN-351
Bursa,Gaziantep,1466605740000,39,SK-276
Baghdad,Kano,1466670480000,147,OG-113
Sholapur,Surat,1464887700000,61,NS-218
Cangzhou,Peking,1466717640000,127,TX-761
Sargodha,Hyderabad,1464412260000,65,SI-438
Klang,Rangoon,1466693880000,85,SI-115
Tokyo,Faisalabad,1465012260000,539,FI-655
Zaporizhzhya,Aleppo,1465043100000,46,FI-265
Tokyo,Hefei,1465887300000,522,HN-694
Dalian,Seoul,1466311860000,196,HN-768
Blantyre,Lilongwe,1465929420000,19,TX-365
Saint Petersburg,Ankara,1464921720000,120,WI-160
Luoyang,Seoul,1465876680000,186,OG-107
Bogotá,Santo Domingo,1465166880000,147,RK-860
Zhangzhou,Jinan,1464919980000,42,RK-454
Pingdingshan,Changde,1464483840000,22,AD-800
Warangal,Bombay,1466304000000,210,QM-160
Dortmund,Berlin,1466133840000,63,NS-529
Anshan,Peking,1465687980000,137,SI-522
Fuxin,Langfang,1464420060000,22,KG-712
Tokyo,Qiqihar,1465328040000,514,TX-463
Odesa,Baghdad,1465727160000,106,RK-162
Ürümqi,Karachi,1465927620000,208,SK-827
Culiacán,Los Angeles,1465658040000,70,WI-134
Brasília,Uberlândia,1464263580000,44,KG-831
Cairo,Gizeh,1465361760000,161,SC-617
Beirut,Cairo,1465342380000,142,CE-852
Vijayawada,Kanpur,1464150780000,58,EA-848
Tbilisi,Tokyo,1466503860000,516,TX-214
Seoul,Nagoya,1466642220000,198,OG-372
Fuxin,Vladivostok,1464893640000,20,RK-685
Bhubaneswar,Shanghai,1465043520000,244,QI-578
Nizhniy Novgorod,Istanbul,1465236060000,176,SC-170
Maanshan,Qingdao,1466043480000,34,FI-183
Tangshan,Liaoyang,1464970140000,43,SI-929
Ranchi,Bombay,1464292320000,216,NS-977
Jakarta,Palembang,1465687200000,155,HN-309
Hohhot,Peking,1464496800000,131,RK-843
Sargodha,Moscow,1465408440000,173,WI-278
Changde,Taichung,1465405500000,25,NS-903
Nairobi,Kisangani,1466526600000,52,WI-173
Karachi,Zhanjiang,1464732960000,194,OG-987
Kalyan,Moscow,1466293980000,184,WI-418
Bombay,Allahabad,1465846560000,218,WI-312
Adana,Moscow,1466459820000,184,NS-858
Luancheng,Nanchang,1466718300000,39,TX-639
Malang,Tokyo,1465351740000,511,RK-222
Bareli,Jakarta,1465814040000,147,RK-793
Kaohsiung,Xinyang,1466484300000,49,DN-612
Tokyo,Petaling Jaya,1466676000000,508,AD-213
Liaoyang,Tianjin,1465488840000,70,EA-147
Melbourne,Shanghai,1464169260000,291,HN-667
Baghdad,Faisalabad,1465669080000,129,EA-480
Dublin,London,1465575660000,134,TX-161
Hamamatsu,Shanghai,1465619820000,241,EA-723
Cracow,Stockholm,1465231020000,31,TX-523
Xinxiang,Maanshan,1464509940000,20,SC-309
Oyo,Onitsha,1464729660000,20,WI-677
Rostov-na-Donu,Baghdad,1465266300000,107,SC-468
Puebla,Guatemala City,1466442600000,37,WK-460
Accra,Kinshasa,1464274620000,154,RK-268
Soweto,Durban,1464620340000,76,QM-610
Mexico,Acapulco,1466289420000,148,HN-620
Izmir,Gaziantep,1464949380000,56,UA-142
Moradabad,Amravati,1466587140000,21,HN-919
Pune,Agra,1464658920000,69,NS-876
Changchun,Zhenjiang,1466116200000,50,WI-490
Xianyang,Tainan,1465805880000,28,AM-247
Hangzhou,Hanoi,1465548840000,52,FI-135
Shanghai,Kaifeng,1464599100000,241,TX-345
Rome,Hamburg,1464216600000,69,WK-365
Chengdu,Benxi,1464840060000,78,RK-520
Jamshedpur,Wuhan,1464597540000,76,SI-199
Taiyuan,Suzhou,1464592800000,64,SK-545
Bengbu,Datong,1466131860000,25,TX-474
Handan,Yangzhou,1466095500000,30,QI-369
Warangal,Rangoon,1466576820000,79,OG-312
London,Agadir,1464161460000,128,TX-479
Jalandhar,Ghaziabad,1465686300000,31,AM-144
Dehra Dun,Peshawar,1465148820000,27,WI-270
Kanpur,Lakhnau,1465135140000,84,QM-198
Mexico,San Antonio,1466302320000,158,CE-583
Huainan,Puyang,1464415440000,26,WK-342
Lima,Duque de Caxias,1465064400000,134,NS-479
Pimpri,Ahmadabad,1466190600000,79,FI-791
Tokyo,Arak,1465021920000,507,QI-309
Vienna,Bursa,1464271080000,47,UA-736
Jiaozuo,Seoul,1466570640000,172,FI-293
Durgapur,Jaipur,1465199760000,51,RK-285
Jinan,Xinyang,1466649540000,58,KG-687
Taipei,Hefei,1466553240000,62,CE-136
Yueyang,Fuzhou,1465883640000,27,AD-806
Lanzhou,Seoul,1465897680000,186,SI-461
Casablanca,Madrid,1466124900000,106,TX-857
Jiamusi,Tokyo,1464287040000,508,HN-341
Taipei,Zhenjiang,1465652400000,49,SI-273
Bombay,Bhubaneswar,1466452680000,213,WK-686
Kirkuk,Saint Petersburg,1465166340000,73,SK-470
Tokyo,Bhiwandi,1465036980000,511,KG-956
Anshan,Wuhan,1466514720000,85,AD-854
Cangzhou,Changde,1464667440000,16,SC-234
Hyderabad,Gwalior,1465938960000,71,AM-381
Bombay,Klang,1465880040000,215,WI-544
Indore,Rangoon,1466357460000,100,NS-186
Karachi,Madurai,1466266260000,199,QI-880
Adana,Bombay,1465716840000,221,OG-197
Hanoi,Madras,1464550860000,91,OG-970
Brasília,Bogotá,1464817980000,147,SC-256
Visakhapatnam,Amritsar,1466380740000,34,SC-758
Gujranwala,Shanghai,1465813980000,254,NS-932
Xian,Anyang,1465696080000,75,OG-861
Xining,Bombay,1465749600000,213,TX-201
Karachi,Kinshasa,1465059300000,308,TX-193
Yantai,Nantong,1466297700000,22,HN-364
Bombay,Antipolo,1466600760000,210,AD-575
Taiyuan,Bangkok,1465346880000,124,TX-519
Tokyo,Suzhou,1465261860000,521,QM-255
Fushun,Jiaozuo,1465105560000,30,RK-900
Sholapur,Surat,1464956040000,61,DN-775
Tianjin,Mudanjiang,1465547340000,70,KG-781
Ahmadabad,Bhavnagar,1464421800000,67,AD-434
Konya,Beirut,1466017440000,33,WK-590
Mashhad,New Delhi,1465022340000,210,HN-683
Cangzhou,Jiaozuo,1466545080000,16,SC-994
Tokyo,Seoul,1465587600000,663,SC-505
Ahvaz,Damascus,1465339680000,38,FI-281
Hefei,Hangzhou,1465803180000,51,DN-318
Lagos,Abidjan,1465486740000,198,QI-372
Aurangabad,Kolhapur,1466501160000,24,QI-137
Chengdu,Dalian,1466466780000,95,UA-240
Luoyang,Ulaanbaatar,1466267700000,35,HN-631
Zigong,Xian,1466044620000,73,KG-487
Orumiyeh,Karachi,1464892320000,194,OG-201
Tokyo,Kitakyushu,1464751620000,515,QI-662
Phoenix,San Diego,1465903200000,43,AD-316
Tokyo,Beirut,1465710240000,519,HN-285
Bombay,Ulhasnagar,1465004580000,209,KG-794
Tokyo,Kota,1465258800000,512,DN-837
Kabul,Amritsar,1466635740000,65,WI-721
Guilin,Zhuzhou,1464894780000,21,QI-877
Bekasi,Malang,1465883880000,36,AD-353
Surakarta,Kuala Lumpur,1466731920000,31,TX-787
Bombay,Sharjah,1464572640000,210,QM-103
Sakai,Jinan,1465896000000,45,DN-732
Kiev,Istanbul,1465299000000,195,RK-344
Arequipa,Santiago,1465798800000,90,EA-379
Jibuti,Khartoum,1464266760000,41,SK-275
Tainan,Taipei,1465269180000,51,UA-119
Seoul,Tainan,1464492360000,175,DN-950
Saltillo,Guadalajara,1465907700000,35,WK-583
Maisuru,Calcutta,1465316100000,87,UA-475
Rajshahi,Rangoon,1464883500000,82,DN-564
Moscow,Delhi,1464392880000,338,CE-123
Taian,Seoul,1464870540000,175,OG-816
Visakhapatnam,Aurangabad,1464673200000,33,RK-564
Kuala Lumpur,Klang,1465811820000,37,OG-254
Dhaka,Cangzhou,1464388440000,111,OG-958
Khabarovsk,Harbin,1465804560000,60,KG-173
Alexandria,Moscow,1465065180000,225,AD-422
Bangalore,Nagpur,1465876560000,113,AM-963
New Delhi,Ankara,1465190880000,229,TX-628
Bhilai,Agra,1464980100000,32,TX-419
Shiliguri,Manila,1466506980000,174,AM-990
Yerevan,Karachi,1464270900000,202,AD-260
Tianjin,Hanoi,1464377400000,82,CE-298
Cancún,Houston,1465270080000,40,UA-969
Tokyo,Ahvaz,1464295020000,513,TX-152
Jaboatão,Salvador,1466026740000,54,NS-451
Tbilisi,Ankara,1466179260000,72,DN-668
Anshan,Kobe,1464371040000,43,NS-356
Tangerang,Bogor,1465415760000,34,SK-965
Tokyo,Taizhou,1466276220000,509,RK-245
San Francisco,Tokyo,1466193060000,511,WK-525
Gaziantep,Astrakhan,1465310160000,24,KG-597
Mudanjiang,Kawasaki,1466273940000,31,AM-185
Raipur,Sholapur,1465973760000,26,KG-666
Izmir,Baku,1464668160000,57,WK-373
Pune,Surat,1465457820000,92,AM-345
Curitiba,Campo Grande,1464961740000,38,DN-982
Xian,Zhenjiang,1465284120000,72,SC-136
Cairo,Asmara,1466292240000,131,OG-285
Cracow,Lagos,1466149680000,151,NS-963
Kigali,Karachi,1465941000000,196,UA-957
Ryazan,Zaporizhzhya,1465331520000,20,EA-381
Baku,Damascus,1464468780000,42,SK-460
Delhi,Surat,1465626660000,219,DN-196
São Gonçalo,Salvador,1465979700000,57,KG-435
Moscow,Tbilisi,1466094780000,181,WI-277
San Antonio,Bogotá,1464434040000,132,QM-406
São Paulo,Campinas,1466223840000,175,WK-687
Karachi,Ranchi,1465223160000,199,AM-721
Tianjin,Hangzhou,1465149600000,89,SI-674
Visakhapatnam,Kanpur,1464703440000,61,QI-236
Datong,Fuxin,1466199780000,27,KG-623
Tiruchchirappalli,Asansol,1465605060000,20,HN-137
Seoul,Shenyang,1466275320000,219,TX-194
Faridabad,Rangoon,1464565020000,91,CE-495
Lima,Teresina,1464891780000,133,KG-762
Anshan,Harbin,1464606120000,70,DN-912
Shanghai,Tainan,1464747000000,243,OG-611
Brasília,São Bernardo do Campo,1464213900000,46,SI-780
Huainan,Dandong,1465942980000,26,FI-346
Chongqing,Tokyo,1464359100000,563,SK-432
New Delhi,Novokuznetsk,1465132380000,182,AD-631
Dar es Salaam,Benoni,1466631840000,52,EA-739
Tyumen,Shanghai,1466301720000,240,SI-112
Tainan,Hangzhou,1465638780000,41,KG-676
Nanjing,Changchun,1465101600000,89,UA-855
Liuzhou,Shanghai,1466413680000,244,UA-801
Peking,Sagamihara,1464851160000,129,HN-688
Bahawalpur,Karachi,1466722320000,193,SI-407
Qom,Adana,1464541380000,35,FI-880
Mexico,Querétaro,1464896640000,148,OG-455
Douala,Umm Durman,1465704660000,65,SC-745
Perm,Baku,1465396320000,33,DN-556
Shanghai,Tanggu,1465348740000,240,UA-785
Dhaka,Haora,1465219860000,119,EA-994
Huaiyin,Baoding,1466238960000,24,TX-886
Bombay,Bangalore,1465435800000,279,RK-958
Jinzhou,Peking,1466253300000,128,CE-466
Tangshan,Karachi,1465698900000,217,FI-614
Warsaw,Wroclaw,1464962820000,36,DN-157
Benxi,Yingkou,1464917160000,25,AD-151
Yerevan,Jiddah,1464643080000,57,SK-881
Kumasi,Cairo,1465816860000,146,WI-928
Hanoi,Datong,1465705920000,39,WI-922
Cordoba,Asunción,1464285360000,30,AD-331
Mashhad,Karachi,1465466820000,221,SK-324
Tokyo,Dandong,1465461420000,510,DN-813
Copenhagen,Rome,1465072080000,59,AD-877
Ha Noi,Xian,1465855260000,85,RK-299
Rasht,Cairo,1464460500000,132,QM-524
Zhanjiang,Jinan,1464264060000,42,OG-983
Nantong,Shanghai,1465706460000,242,SK-325
Amritsar,Tokyo,1466676600000,517,UA-914
Jos,Kano,1465921380000,70,KG-506
Wuhan,Haikou,1464867840000,76,TX-809
Fushun,Seoul,1465104300000,186,WK-128
Alexandria,Ankara,1466487300000,116,NS-637
Sofia,Warsaw,1466510880000,43,SC-742
Kaduna,Casablanca,1466533320000,82,QI-776
Campo Grande,Rio de Janeiro,1465475220000,107,FI-231
Belfast,London,1466070240000,127,TX-817
Fez,Genoa,1466405220000,27,TX-196
Zhangdian,Manila,1466473140000,176,SC-785
Madras,Bangalore,1464430620000,147,UA-910
Jalandhar,Bombay,1465366320000,214,DN-449
Ahmadabad,Jodhpur,1465748220000,73,CE-151
Tokyo,Semarang,1465276080000,520,EA-180
Fuzhou,Taiyuan,1466377860000,61,CE-722
Huainan,Tokyo,1464640020000,516,OG-622
Taian,Hangzhou,1465349340000,41,WI-412
Tokyo,Portland,1466383080000,508,QI-238
Bursa,Ankara,1464345480000,78,SC-971
Jakarta,Ha Noi,1464415200000,158,OG-465
Beirut,Moscow,1464197880000,184,SI-830
Jinan,Peking,1464743880000,151,SC-729
Chongqing,Wenzhou,1464553080000,76,QM-558
Sholapur,Ahmadabad,1466433480000,74,RK-884
Genoa,Saint Petersburg,1464721440000,73,AM-356
Torreón,Puebla,1465062120000,30,FI-567
Lagos,Casablanca,1466697960000,196,KG-447
Tunis,Berlin,1465672080000,64,SI-677
Nantong,Langfang,1464440880000,22,AM-960
Madrid,Duisburg,1465704840000,57,QI-832
Jodhpur,Bhubaneswar,1466408280000,26,KG-129
Calcutta,Varanasi,1465481580000,92,KG-685
Hohhot,Shanghai,1466619660000,244,CE-171
Ahmadabad,Allahabad,1465322040000,76,SC-706
Tokyo,Mashhad,1466281140000,536,RK-683
Shanghai,Fushun,1466175960000,254,UA-875
Durban,Bombay,1464448740000,251,EA-996
Lagos,Warri,1464256620000,148,WI-743
Manila,Dhaka,1465611720000,269,DN-532
Konya,Beirut,1465687500000,33,SI-167
Karaj,Tolyatti,1465549320000,34,TX-209
Manila,Padang,1465075260000,179,KG-170
Novokuznetsk,New Delhi,1466512680000,182,TX-462
Padang,Bombay,1465365120000,214,WI-607
Cairo,Aba,1464760320000,137,SK-271
Fuxin,Luoyang,1465273380000,33,QM-868
Rio de Janeiro,Montevideo,1466122200000,116,QM-276
Guiyang,Tokyo,1465085100000,518,EA-166
Peking,Rangoon,1466307780000,189,AD-104
Amritsar,Islamabad,1465689180000,29,CE-222
Bhopal,Bombay,1465176300000,227,DN-445
Düsseldorf,Cologne,1464181560000,24,DN-265
Guntur,Jamshedpur,1464955380000,18,QI-983
Delhi,Jinan,1464198060000,206,WK-611
Ankara,Budapest,1465393260000,83,TX-886
Irkutsk,Chongqing,1465255740000,72,SK-488
Puebla,Toronto,1466552700000,95,QI-332
Jakarta,Xian,1464374580000,198,NS-236
Yancheng,Shaoyang,1464437640000,20,KG-422
Cairo,Yerevan,1464630960000,140,SC-495
Bombay,Mersin,1466022000000,211,UA-855
Chelyabinsk,Yekaterinburg,1466350680000,37,DN-833
Tembisa,Johannesburg,1466461140000,40,SK-724
Cairo,Ahmadabad,1464607320000,181,AD-448
Tokyo,Xining,1465730640000,512,WK-146
Chongqing,Visakhapatnam,1466145840000,79,CE-950
Ankara,Karachi,1465221900000,240,SI-572
Aligarh,Ranchi,1464236940000,26,QM-360
Hefei,Hiroshima,1464375000000,40,EA-553
Kazan,Istanbul,1466576880000,173,WI-174
Cuiabá,Rio de Janeiro,1464715500000,103,SK-440
Kano,Bangui,1464268980000,68,WK-166
Prague,Essen,1465735140000,27,TX-616
Kalyan,Bombay,1466660820000,221,AM-215
Makati,Tokyo,1465260360000,508,WK-757
Ghaziabad,Jaipur,1464165480000,62,NS-814
Raipur,Varanasi,1465801320000,29,DN-655
Durgapur,Tokyo,1465777500000,508,OG-283
Huaibei,Shanghai,1464264660000,246,DN-458
Khartoum,Istanbul,1465446780000,186,KG-514
Faisalabad,Almaty,1466026380000,58,DN-424
Hamadan,Kermanshah,1466457240000,20,NS-855
Zhuhai,Rongcheng,1466459160000,23,NS-168
Dhaka,New Delhi,1465372980000,276,HN-779
Nanjing,Qiqihar,1465051320000,63,WI-752
Dhaka,Qom,1465957560000,119,TX-872
Saratov,Saint Petersburg,1466085540000,77,QM-784
Chengdu,Yueyang,1466441400000,71,TX-290
Bhopal,Hyderabad,1466657880000,82,AM-830
Ogbomosho,Sokoto,1464629280000,22,KG-378
Ulaanbaatar,Irkutsk,1464695640000,22,AM-104
Lagos,Sevilla,1465163160000,150,OG-146
Mbuji-Mayi,Tokyo,1464186240000,513,SC-264
Xian,Wuhu,1465300620000,70,UA-222
Tokyo,Kathmandu,1464598620000,512,CE-520
Maracaibo,Valencia,1465133700000,52,OG-253
Odesa,Sarajevo,1464251040000,26,SC-640
Mashhad,Pune,1466137620000,83,SC-298
New Delhi,Ho Chi Minh City,1466254860000,228,DN-128
Langfang,Zhangzhou,1465344960000,20,WI-973
Datong,Seoul,1465922580000,180,RK-732
Chelyabinsk,Tolyatti,1466096100000,28,DN-729
Kobe,Sakai,1466559960000,36,SC-679
Zhuzhou,Tokyo,1466132880000,511,KG-991
Tokyo,Chongqing,1464300540000,563,SI-344
Kaohsiung,Tokyo,1465426740000,524,OG-648
Manaus,Belém,1464919980000,47,FI-967
Tokyo,Vladivostok,1465902720000,509,SC-553
Tianjin,Fuzhou,1464370560000,78,OG-945
Zhangjiakou,Cangzhou,1465242660000,19,AD-291
Patna,Lahore,1465967220000,125,KG-310
Indore,Gujranwala,1465272000000,51,EA-915
Shanghai,Funabashi,1464769620000,240,SC-926
Karachi,Kunming,1465221420000,200,FI-769
Jinan,Jiaozuo,1465676280000,41,UA-452
Bombay,Nagpur,1466291160000,236,WK-229
Tokyo,Xianyang,1466536380000,516,WI-995
Beira,Nairobi,1465275660000,52,OG-744
Ningbo,Jiangmen,1466561700000,19,KG-124
Seoul,Fushun,1464221580000,186,CE-660
Tokyo,Huaibei,1464227880000,514,HN-921
Karachi,Jiddah,1464256560000,225,RK-120
Seoul,Langfang,1465024380000,175,FI-769
Delhi,Mashhad,1464160440000,210,NS-484
Cairo,Beirut,1466302860000,142,TX-583
Xianyang,Seoul,1466334000000,180,KG-172
Ludhiana,Patna,1464362820000,49,EA-753
Surat,Dubai,1465953840000,64,TX-219
Kayseri,Riyadh,1465491480000,64,OG-205
Ghaziabad,Thana,1466166300000,42,FI-368
Moscow,Jos,1465924800000,177,SC-696
Sholapur,Lakhnau,1466184720000,55,AD-176
Karachi,Singapore,1466251500000,241,SK-134
Jiamusi,Tokyo,1466072100000,508,RK-975
Ulhasnagar,Calcutta,1464697980000,81,AD-255
Hamburg,Istanbul,1466604240000,183,AM-931
Madras,Aurangabad,1464921660000,84,WK-225
Benghazi,Tokyo,1466718660000,510,TX-900
Shenyang,Yingkou,1466262840000,65,RK-511
Chengdu,Xian,1464437220000,125,EA-706
Berlin,Gizeh,1466541420000,92,HN-525
Tokyo,Surat,1465250220000,545,OG-154
Duisburg,Rotterdam,1466578140000,17,QM-196
Chengdu,Peking,1466142120000,181,WI-872
Seoul,Sakai,1466325000000,176,AM-229
Bhilai,Rangoon,1464611040000,81,OG-844
Bombay,Sholapur,1464819240000,217,SC-116
Qinhuangdao,Chengdu,1464241680000,74,WI-518
Haora,Gorakhpur,1464689100000,27,TX-401
Lahore,Barnaul,1464190440000,109,EA-359
Tokyo,Benxi,1465805460000,515,HN-899
Gujranwala,Mashhad,1464150300000,58,RK-672
Karachi,Qingdao,1465244580000,210,TX-687
Cairo,Ogbomosho,1464415080000,136,DN-473
Seoul,Huaibei,1466467440000,178,CE-428
Tokyo,Hengyang,1465399380000,512,RK-303
Vienna,Alexandria,1466141640000,85,UA-370
Shenyang,Wuhan,1464712980000,122,CE-741
Zaporizhzhya,Kirkuk,1466218200000,22,UA-582
Chongqing,Makati,1465444800000,71,UA-537
Fushun,Handan,1466376780000,43,AD-126
Lagos,Lubumbashi,1464212700000,161,SI-282
Brazzaville,Oyo,1464919620000,29,WK-114
Ankara,Tokyo,1466718600000,555,OG-732
Lahore,Ajmer,1464162960000,108,CE-248
Phoenix,Mexico,1464461520000,161,CE-139
Amravati,Kanpur,1465237740000,54,OG-186
Taizhou,Guangzhou,1466013540000,59,RK-287
Izmir,Beirut,1465928460000,59,QI-857
Kawasaki,Harbin,1466430000000,72,NS-982
Istanbul,Lvov,1465886700000,168,FI-277
Bikaner,Kabul,1464629040000,57,NS-231
Riga,Helsinki,1465700220000,20,AM-422
Taipei,Tokyo,1464843120000,539,SC-652
Shaoguan,Hengyang,1464788820000,22,OG-477
New Delhi,Delhi,1466184240000,347,TX-317
Jiddah,Khartoum,1464744780000,71,QM-709
New Delhi,Ludhiana,1464756420000,198,QI-864
Baghdad,Kazan,1465503540000,107,UA-884
Tabriz,Kermanshah,1464272220000,34,TX-285
Tianjin,Wuxi,1466702760000,77,CE-940
Guadalajara,Tlalnepantla,1466360640000,37,CE-566
Bhilai,Guntur,1466478660000,18,FI-602
Kaohsiung,Tainan,1464339060000,35,UA-428
Delhi,Peshawar,1466342100000,192,KG-533
Puyang,Xianyang,1465097280000,27,AD-788
Munich,Tunis,1466227560000,30,SI-628
Bangkok,Aligarh,1464629460000,93,DN-409
Kochi,Jakarta,1465786320000,145,NS-592
Mashhad,Moscow,1465106520000,201,QI-299
Maisuru,Warangal,1466245260000,22,SK-152
Rangoon,Bangkok,1465812240000,152,WK-303
Delhi,Tolyatti,1464571380000,184,QM-768
Nanchang,Zhenjiang,1465320300000,39,TX-959
Kunming,Manila,1466560560000,182,SC-637
Istanbul,Kryvyy Rih,1466071500000,165,QI-717
São Paulo,Curitiba,1465235640000,186,RK-334
Guarulhos,Uberlândia,1465887840000,27,EA-406
Tokyo,Niigata,1465181400000,508,SK-462
Zhangjiakou,Shenyang,1465218300000,66,KG-186
Port-au-Prince,Ciudad Guayana,1466236140000,31,WK-983
New Delhi,Rajkot,1466045040000,192,UA-589
Guarulhos,São Gonçalo,1465873140000,33,SI-172
Saitama,Liaoyang,1466473020000,28,SI-352
Palermo,Madrid,1465263060000,59,KG-925
Dehra Dun,Madras,1466119860000,77,HN-858
Riyadh,Esfahan,1465840860000,79,RK-662
Xiamen,Jiangmen,1464307980000,17,WK-597
Dandong,Tokyo,1464984840000,510,TX-683
Agra,Bikaner,1466293320000,31,NS-640
Jakarta,Tokyo,1465987260000,635,AM-552
Lahore,Pune,1465791420000,146,HN-914
Davao,Tokyo,1464867120000,519,QM-838
Damascus,Saratov,1465910340000,38,TX-889
Johannesburg,Bombay,1464661980000,233,RK-516
Voronezh,Bucharest,1465845600000,43,QI-734
Ho Chi Minh City,Madurai,1464228360000,69,KG-591
Kaifeng,Xianyang,1465652340000,25,SI-776
Lakhnau,Selam,1464984240000,51,AD-536
Stockholm,Istanbul,1465665540000,175,OG-385
Bénin,Ibadan,1464446160000,74,KG-198
León,Chimalhuacán,1465673340000,27,DN-225
Zhangzhou,Zhuhai,1466720640000,17,KG-241
Nanjing,Xuzhou,1464764220000,68,KG-551
Gaziantep,Delhi,1464358920000,190,FI-517
Islamabad,Bangalore,1465224000000,90,AD-115
Rongcheng,Rangoon,1464652620000,87,RK-617
Visakhapatnam,Bangalore,1465262580000,95,AM-566
Ulhasnagar,Lahore,1466378280000,108,CE-915
Xingtai,Foshan,1465270560000,19,UA-500
Lanzhou,Shanghai,1464942180000,254,RK-797
Izhevsk,Baghdad,1466214060000,100,KG-496
New Delhi,Ho Chi Minh City,1466183220000,228,CE-162
Jamshedpur,Madras,1464554580000,78,QM-475
Kota,Dehra Dun,1464934620000,20,SI-682
Vijayawada,Jaipur,1466649900000,56,NS-511
Madrid,Lagos,1466534160000,188,NS-640
Calcutta,Hubli,1465525560000,86,SC-491
Chengdu,Khulna,1466021400000,84,NS-698
Chengdu,Xingtai,1464611460000,72,SK-318
Tokyo,Yancheng,1464892440000,509,KG-477
Munich,Sarajevo,1465017720000,30,AM-203
Baghdad,Ghaziabad,1464571200000,109,WK-792
Raipur,New Delhi,1465554720000,184,RK-487
Calcutta,Lakhnau,1464383340000,112,EA-869
Bombay,Shiliguri,1465835580000,209,QI-747
Bombay,Aurangabad,1466390400000,217,OG-124
Johor Bahru,Phnum Pénh,1464622680000,37,NS-254
Chongqing,Qinhuangdao,1464485580000,75,CE-757
Peking,Chengdu,1465414200000,181,AD-580
Ulyanovsk,Izhevsk,1465867920000,20,SC-641
Shiraz,Riyadh,1465753860000,74,KG-284
Kobe,Nanjing,1465510020000,73,WK-669
Riyadh,Bombay,1465539660000,256,SK-780
Tunis,Munich,1466142420000,30,SI-456
Jabalpur,Calcutta,1465338600000,89,AM-495
Taiyuan,Pingdingshan,1465473660000,57,CE-208
Ibadan,Addis Abeba,1465446060000,100,UA-926
Hefei,Zhuzhou,1465469100000,33,DN-941
Shanghai,Nantong,1465555020000,242,QI-602
Istanbul,Rome,1464526800000,197,SI-354
Kathmandu,Bhavnagar,1464288540000,21,RK-658
Shenzhen,Tokyo,1465898520000,515,DN-312
Banjarmasin,Tokyo,1464787500000,509,AD-965
Yingkou,Shanghai,1464492900000,241,QM-447
Shenyang,Qingdao,1466025300000,81,FI-186
Kathmandu,Chongqing,1464233700000,75,QI-423
Nagpur,Lakhnau,1465782900000,74,CE-524
Palermo,Sarajevo,1464712020000,21,SI-598
Konya,Warsaw,1466178960000,40,HN-448
Tokyo,Zhanjiang,1466015580000,510,WK-112
Cuiabá,Lima,1466347500000,129,DN-173
Qingdao,Pingdingshan,1465604340000,40,OG-944
Durban,Maputo,1466394360000,68,WI-386
Algiers,Wahran,1466311080000,41,FI-779
Xinyang,Kitakyushu,1465639260000,41,QM-782
Qinhuangdao,Tangshan,1464334140000,44,AD-939
Neijiang,Yueyang,1464280920000,17,UA-831
Bangkok,Manila,1464919200000,246,EA-459
Pretoria,Bombay,1464510600000,227,SK-946
Makasar,Semarang,1464663240000,41,EA-458
Bouaké,Niamey,1466530200000,21,UA-260
Ludhiana,Karachi,1466410920000,209,WK-970
Delhi,Hai Phong,1464591960000,183,QM-336
Jerusalem,Karachi,1465659900000,196,SC-111
Sharjah,Orumiyeh,1464592500000,18,WI-355
Ürümqi,Karachi,1465159800000,208,KG-841
Bhiwandi,Kolhapur,1464581880000,19,QM-770
Zhuhai,Guilin,1466725680000,18,FI-513
Guilin,Kaohsiung,1466240700000,34,RK-964
Guangzhou,Haikou,1466692740000,59,DN-786
Indore,Lahore,1465749300000,129,AD-367
Tokyo,Tangshan,1465591380000,532,AM-348
Visakhapatnam,Jaipur,1465819920000,59,KG-975
Guwahati,Shanghai,1464732060000,246,AD-850
Istanbul,Alexandria,1464509640000,216,TX-850
Harbin,Fushun,1465590960000,73,SC-877
Shiraz,Delhi,1465924560000,193,EA-605
Ho Chi Minh City,Nanning,1465214700000,67,CE-106
Hegang,Jiamusi,1465793280000,20,QM-106
Padang,Seoul,1465584000000,177,SK-480
Tokyo,Kisangani,1466693040000,508,FI-366
